SOFTWARECOMPONENT	SWCOMPDESC	APPLICATIONCOMPONENT	APCOMPDESC	CHECKID	CATEGORY	MESSAGE	MSGTYPE	RETURNCODE	MSGIDENTIFIER	SEVERITY	COMPLEXITY	PROCAREA	PROCAREAL2	EFFORT	EFFORTFUNC	EFFORTTECH	NOTE	MIGRPOSSIBLE	MIGRIMPACT
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100046 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100050 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100051 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000510002 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300000 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300001 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300002 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300003 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300004 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300005 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300006 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300007 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000300010 is not having CVI mapping check the table CVI_VEND_LINK in client 100  kindly refer note 2210486	A	12	BPMD006	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
