PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   59	BSEG-XREF1-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   60	BSEG-ZUONR-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   61	BSEG-VBUND-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIC_LAWSON_VENDOR_UPLOAD	Lawson Vendor Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFIC_LAWSON_VENDOR_UPLOAD	ZFIC_LAWSON_VENDOR_UPLOAD	   72	LFA1-NAME4-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZRFI_VENDOR_VAT_ASIA	Asia Vendor VAT Report			ZFI	EHP6 FOR SAP ERP 6.0	ZRFI_VENDOR_VAT_ASIA	ZRFI_VENDOR_VAT_ASIA	   75	BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZRFI_VENDOR_VAT_ASIA	Asia Vendor VAT Report			ZFI	EHP6 FOR SAP ERP 6.0	ZRFI_VENDOR_VAT_ASIA	ZRFI_VENDOR_VAT_ASIA	   76	LFA1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   79	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFI_AR_TRANSFER_MULTI	AR Transfer and Clearing			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_TRANSFER_MULTI	ZFI_AR_TRANSFER_MULTI	   80	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZRFI_VENDOR_VAT_ASIA	Asia Vendor VAT Report			ZFI	EHP6 FOR SAP ERP 6.0	ZRFI_VENDOR_VAT_ASIA	ZRFI_VENDOR_VAT_ASIA	   81	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFI_AR_TRANSFER_MULTI	AR Transfer and Clearing			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_TRANSFER_MULTI	ZFI_AR_TRANSFER_MULTI	   81	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFI_AR_TRANSFER_MULTI	AR Transfer and Clearing			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_TRANSFER_MULTI	ZFI_AR_TRANSFER_MULTI	   82	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
