PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_PERFORM_PARAMS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00Y	
R3TR	OTH	Others	METH	Method (ABAP Objects)	RUN				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01I	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CLEAR				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01J	
R3TR	OTH	Others	METH	Method (ABAP Objects)	MOVE_VAR				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM018	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_VAR_EXT				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01K	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_VAR				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00F	
R3TR	OTH	Others	METH	Method (ABAP Objects)	END_OF_TOP_PROC				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00M	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ANALYZE_START				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00D	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_REFS				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM02V	
R3TR	OTH	Others	METH	Method (ABAP Objects)	DISPLAYSUPSET_CREATE_ENTITY	Related EntitySet Name: displaysupSet			ZBACKLOG	SAP ECC 6.0	ZCL_Z_POSERV_DPC	ZCL_Z_POSERV_DPC==============CM00L	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_TYPE_COMP				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00S	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_TABLE_KEY				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00R	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_FULL_NAME				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00Q	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_ENV_COMP				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00P	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_ENH_PARENT				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00O	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_ENHANCEMENT_IMPL				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00N	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_ENHANCEMENT_EXIT				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00M	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_DATA_COMP				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00L	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_CONTROL				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00K	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_COMMON_PART				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM00J	
R3TR	OTH	Others	METH	Method (ABAP Objects)	RANGE_ELEM_TYPE				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM03H	
